id,user,uid,version,changeset,timestamp
14291172.0,TheDutchMan13,1330847.0,4,63665894.0,2018-10-19T03:25:29Z
14291208.0,TheDutchMan13,1330847.0,10,66559016.0,2019-01-23T06:12:08Z
14291209.0,TheDutchMan13,1330847.0,10,66559016.0,2019-01-23T06:12:01Z
14291211.0,TheDutchMan13,1330847.0,12,66559016.0,2019-01-23T06:12:03Z
14291340.0,Andreyhmk,2915075.0,2,57609960.0,2018-03-28T18:24:21Z
14291342.0,Andreyhmk,2915075.0,2,57609960.0,2018-03-28T18:24:22Z
14291405.0,Notofsoundmind,209805.0,2,3397586.0,2009-12-17T23:33:29Z
14291472.0,TheDutchMan13,1330847.0,10,66559016.0,2019-01-23T06:12:02Z
14291473.0,TheDutchMan13,1330847.0,10,66559016.0,2019-01-23T06:12:04Z
14291565.0,lacram_telenav,4832980.0,2,63820036.0,2018-10-24T06:56:37Z
14291603.0,SimMoonXP,3392.0,3,12769888.0,2012-08-18T07:19:40Z
14291604.0,samely,2512300.0,5,32484130.0,2015-07-07T21:44:47Z
14291605.0,USA Editor,1282393.0,24,61515970.0,2018-08-10T00:19:49Z
14291606.0,USA Editor,1282393.0,22,61515970.0,2018-08-10T00:19:49Z
14291739.0,maxerickson,360392.0,2,47326937.0,2017-03-31T14:11:04Z
14291743.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:12:49Z
14291763.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:50Z
14291766.0,TheDutchMan13,1330847.0,8,49150987.0,2017-06-01T01:12:50Z
14291770.0,TheDutchMan13,1330847.0,2,49150987.0,2017-06-01T01:12:50Z
14291772.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:50Z
14291788.0,TheDutchMan13,1330847.0,5,49150987.0,2017-06-01T01:12:51Z
14291790.0,TheDutchMan13,1330847.0,3,49173735.0,2017-06-01T18:46:20Z
14291815.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:51Z
14291817.0,abel801,2377377.0,6,31754775.0,2015-06-05T20:08:01Z
14291819.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:12:52Z
14291823.0,TheDutchMan13,1330847.0,8,65565692.0,2018-12-17T23:14:36Z
14291840.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:12:52Z
14291859.0,bhavana naga,5677293.0,7,60005316.0,2018-06-20T09:57:06Z
14291909.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:12:54Z
14291923.0,SSR_317,7960635.0,7,59279132.0,2018-05-25T18:46:40Z
14291924.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:55Z
14291925.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:55Z
14291926.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:12:55Z
14291942.0,TheDutchMan13,1330847.0,2,49150987.0,2017-06-01T01:12:56Z
14291960.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:56Z
14291968.0,TheDutchMan13,1330847.0,2,49150987.0,2017-06-01T01:12:56Z
14291972.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:12:57Z
14291975.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:57Z
14291979.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:57Z
14291989.0,TheDutchMan13,1330847.0,3,49150987.0,2017-06-01T01:12:58Z
14291991.0,TheDutchMan13,1330847.0,4,49150987.0,2017-06-01T01:12:58Z
14291997.0,payelgh,8683377.0,5,70216245.0,2019-05-14T04:22:10Z
14291998.0,payelgh,8683377.0,4,70216245.0,2019-05-14T04:22:10Z
